geometry;muestra;cultivo;variable;date;valor;cndvi
c(267103.509067031, 5970319.48182146);3;trigo;ndvi;2020-12-29;0.37176376581192017;6.326299354434013
c(268851.961059431, 5969948.29313324);5;maiz;ndvi;2020-12-29;0.9732497334480286;3.369310773909092
c(268799.930726717, 5969814.07767798);1;maiz;ndvi;2020-12-29;0.9722337126731873;3.413813315331936
c(268681.829125117, 5969855.98851984);2;maiz;ndvi;2020-12-29;0.9688566327095032;3.3005449771881104
c(268604.857090739, 5970009.29054857);4;maiz;ndvi;2020-12-29;0.9607648253440857;3.227583773434162
c(268481.45584638, 5969926.53256864);3;maiz;ndvi;2020-12-29;0.9654408693313599;3.24663770198822
c(267424.84322317, 5970351.83901442);4;trigo;ndvi;2021-01-18;0.21389324963092804;5.990585684776306
c(267325.880497903, 5970251.93123325);1;trigo;ndvi;2021-01-18;0.2158498466014862;6.539514377713203
c(267222.297476872, 5970288.28354686);2;trigo;ndvi;2021-01-18;0.20231416821479797;6.51637989282608
c(267318.798842094, 5970372.70892328);5;trigo;ndvi;2021-01-18;0.23489688336849213;6.1335985362529755
c(267103.509067031, 5970319.48182146);3;trigo;ndvi;2021-01-18;0.21985815465450287;6.546157509088516
c(268851.961059431, 5969948.29313324);5;maiz;ndvi;2021-01-18;0.9264822006225586;4.2957929745316505
c(268799.930726717, 5969814.07767798);1;maiz;ndvi;2021-01-18;0.9152576923370361;4.329071007668972
c(268681.829125117, 5969855.98851984);2;maiz;ndvi;2021-01-18;0.9190751314163208;4.219620108604431
c(268604.857090739, 5970009.29054857);4;maiz;ndvi;2021-01-18;0.8976427912712097;4.125226564705372
c(268481.45584638, 5969926.53256864);3;maiz;ndvi;2021-01-18;0.9196924567222595;4.16633015871048
c(267424.84322317, 5970351.83901442);4;trigo;ndvi;2021-02-02;0.09912070631980896;6.089706391096115
c(267325.880497903, 5970251.93123325);1;trigo;ndvi;2021-02-02;0.10022354871034622;6.63973792642355
c(267222.297476872, 5970288.28354686);2;trigo;ndvi;2021-02-02;0.1088021993637085;6.625182092189789
c(267318.798842094, 5970372.70892328);5;trigo;ndvi;2021-02-02;0.1080152690410614;6.241613805294037
c(267103.509067031, 5970319.48182146);3;trigo;ndvi;2021-02-02;0.11482889950275421;6.6609864085912704
c(268851.961059431, 5969948.29313324);5;maiz;ndvi;2021-02-02;0.9090909361839294;5.20488391071558
c(268799.930726717, 5969814.07767798);1;maiz;ndvi;2021-02-02;0.9040403962135315;5.2331114038825035
c(268681.829125117, 5969855.98851984);2;maiz;ndvi;2021-02-02;0.9032741189002991;5.12289422750473
c(268604.857090739, 5970009.29054857);4;maiz;ndvi;2021-02-02;0.8937777876853943;5.019004352390766
c(268481.45584638, 5969926.53256864);3;maiz;ndvi;2021-02-02;0.9050936102867126;5.071423768997192
c(267424.84322317, 5970351.83901442);4;trigo;ndvi;2021-04-18;0.17699114978313446;6.26669754087925
c(267325.880497903, 5970251.93123325);1;trigo;ndvi;2021-04-18;0.2556115388870239;6.895349465310574
c(267222.297476872, 5970288.28354686);2;trigo;ndvi;2021-04-18;0.2322230041027069;6.857405096292496
c(267318.798842094, 5970372.70892328);5;trigo;ndvi;2021-04-18;0.23393665254116058;6.4755504578351974
c(267103.509067031, 5970319.48182146);3;trigo;ndvi;2021-04-18;0.3122219443321228;6.973208352923393
c(268851.961059431, 5969948.29313324);5;maiz;ndvi;2021-04-18;0.2338394820690155;5.4387233927845955
c(268799.930726717, 5969814.07767798);1;maiz;ndvi;2021-04-18;0.25435176491737366;5.487463168799877
c(268681.829125117, 5969855.98851984);2;maiz;ndvi;2021-04-18;0.2631579041481018;5.386052131652832
c(268604.857090739, 5970009.29054857);4;maiz;ndvi;2021-04-18;0.24073652923107147;5.259740881621838
c(268481.45584638, 5969926.53256864);3;maiz;ndvi;2021-04-18;0.2699292004108429;5.341352969408035
c(267424.84322317, 5970351.83901442);4;trigo;ndvi;2021-05-23;0.16929133236408234;6.435988873243332
c(267325.880497903, 5970251.93123325);1;trigo;ndvi;2021-05-23;0.18901242315769196;7.0843618884682655
c(267222.297476872, 5970288.28354686);2;trigo;ndvi;2021-05-23;0.16661010682582855;7.024015203118324
c(267318.798842094, 5970372.70892328);5;trigo;ndvi;2021-05-23;0.1846473067998886;6.660197764635086
c(267103.509067031, 5970319.48182146);3;trigo;ndvi;2021-05-23;0.19708535075187683;7.17029370367527
c(268851.961059431, 5969948.29313324);5;maiz;ndvi;2021-05-23;0.12612612545490265;5.564849518239498
c(268799.930726717, 5969814.07767798);1;maiz;ndvi;2021-05-23;0.14532019197940826;5.632783360779285
c(268681.829125117, 5969855.98851984);2;maiz;ndvi;2021-05-23;0.14549937844276428;5.531551510095596
c(268604.857090739, 5970009.29054857);4;maiz;ndvi;2021-05-23;0.16937914490699768;5.429120026528835
c(268481.45584638, 5969926.53256864);3;maiz;ndvi;2021-05-23;0.12928177416324615;5.470634743571281
