geometry;muestra;cultivo;date;valor;variable;clai
c(268604.857090739, 5970009.29054857);4;maiz;2021-01-18;3.102731466293335;lai;10.04908737540245
c(268481.45584638, 5969926.53256864);3;maiz;2021-01-18;3.1929821968078613;lai;10.623714864253998
c(267424.84322317, 5970351.83901442);4;trigo;2021-04-18;0.5060977935791016;lai;9.650383830070496
c(267325.880497903, 5970251.93123325);1;trigo;2021-04-18;0.5230574607849121;lai;11.272478103637695
c(267222.297476872, 5970288.28354686);2;trigo;2021-04-18;0.5332316160202026;lai;11.223822474479675
c(267318.798842094, 5970372.70892328);5;trigo;2021-04-18;0.5229434967041016;lai;9.83654922246933
c(267103.509067031, 5970319.48182146);3;trigo;2021-04-18;0.569742739200592;lai;11.462108492851257
c(268851.961059431, 5969948.29313324);5;maiz;2021-04-18;0.5489494800567627;lai;11.517557859420776
c(268799.930726717, 5969814.07767798);1;maiz;2021-04-18;0.5610332489013672;lai;11.506011247634888
c(268681.829125117, 5969855.98851984);2;maiz;2021-04-18;0.5604151487350464;lai;11.370607823133469
c(268604.857090739, 5970009.29054857);4;maiz;2021-04-18;0.5586739182472229;lai;10.607761293649673
c(268481.45584638, 5969926.53256864);3;maiz;2021-04-18;0.5666480660438538;lai;11.190362930297852
c(267424.84322317, 5970351.83901442);4;trigo;2020-08-06;0.62047278881073;lai;10.270856618881226
c(267325.880497903, 5970251.93123325);1;trigo;2020-08-06;0.5710748434066772;lai;11.843552947044373
c(267222.297476872, 5970288.28354686);2;trigo;2020-08-06;0.5744690299034119;lai;11.798291504383087
c(267318.798842094, 5970372.70892328);5;trigo;2020-08-06;0.6161314845085144;lai;10.452680706977844
c(267103.509067031, 5970319.48182146);3;trigo;2020-08-06;0.5767092704772949;lai;12.038817763328552
c(268851.961059431, 5969948.29313324);5;maiz;2020-08-06;0.6215487718582153;lai;12.139106631278992
c(268799.930726717, 5969814.07767798);1;maiz;2020-08-06;0.6263245940208435;lai;12.132335841655731
c(268681.829125117, 5969855.98851984);2;maiz;2020-08-06;0.6012210249900818;lai;11.97182884812355
c(268604.857090739, 5970009.29054857);4;maiz;2020-08-06;0.608433187007904;lai;11.216194480657578
c(268481.45584638, 5969926.53256864);3;maiz;2020-08-06;0.6071787476539612;lai;11.797541677951813
c(267424.84322317, 5970351.83901442);4;trigo;2020-10-15;1.0887340307235718;lai;11.359590649604797
c(267325.880497903, 5970251.93123325);1;trigo;2020-10-15;2.11496901512146;lai;13.958521962165833
c(267222.297476872, 5970288.28354686);2;trigo;2020-10-15;2.043041944503784;lai;13.841333448886871
c(267318.798842094, 5970372.70892328);5;trigo;2020-10-15;0.9739646315574646;lai;11.426645338535309
c(267103.509067031, 5970319.48182146);3;trigo;2020-10-15;2.1745548248291016;lai;14.213372588157654
c(268851.961059431, 5969948.29313324);5;maiz;2020-10-15;0.5259451270103455;lai;12.665051758289337
c(268799.930726717, 5969814.07767798);1;maiz;2020-10-15;0.5219166278839111;lai;12.654252469539642
c(268681.829125117, 5969855.98851984);2;maiz;2020-10-15;0.525969386100769;lai;12.49779823422432
c(268604.857090739, 5970009.29054857);4;maiz;2020-10-15;0.5176190733909607;lai;11.733813554048538
c(268481.45584638, 5969926.53256864);3;maiz;2020-10-15;0.5972349643707275;lai;12.39477664232254
c(267424.84322317, 5970351.83901442);4;trigo;2020-11-14;3.2298693656921387;lai;14.589460015296936
c(267325.880497903, 5970251.93123325);1;trigo;2020-11-14;3.3379666805267334;lai;17.296488642692566
c(267222.297476872, 5970288.28354686);2;trigo;2020-11-14;3.34551739692688;lai;17.18685084581375
c(267318.798842094, 5970372.70892328);5;trigo;2020-11-14;3.229203701019287;lai;14.655849039554596
c(267103.509067031, 5970319.48182146);3;trigo;2020-11-14;3.3592634201049805;lai;17.572636008262634
c(267424.84322317, 5970351.83901442);4;trigo;2020-12-04;2.8281869888305664;lai;17.417647004127502
c(267325.880497903, 5970251.93123325);1;trigo;2020-12-04;3.036263942718506;lai;20.332752585411072
c(267222.297476872, 5970288.28354686);2;trigo;2020-12-04;3.0157840251922607;lai;20.202634871006012
